Species,Stock,population
Baird's Beaked Whale,Alaska,-1
Bearded Seal,Alaska,-1
Beluga Whale,Beaufort,41610
Beluga whale,Eastern Chukchi Sea,3710
Beluga whale,Norton Sound++,7367
Beluga whale,Bristol Bay,1555
Beluga Whale,Cook Inlet++,1251
Bowhead Whale,lolestern Arctic,8000
Cuvier's Beaked Whale,Alaska,-1
Dall's Porpoise,Alaska,83400
Fin Whale,Alaska,-1
Gray Whale,Eastern N Pacific,23109
Harbor Porpoise,Alaska,29744
Harbor Porpoise,Alaska-aerial,27714
Harbor Porpoise,Alaska-vessel,2030
Harbor Seal,Southeast Alaska,34652
Harbor Seal,Gulf of Alaska++,19694
Harbor Seal,Bering Sea,18322
Hunchback Whale,Western N Pacific,-1
Hunchback Whale,Central N Pacific,1407
Killer Whale,Resident,759
Killer Whale,Transient,245
Minke Whale,Alaska,-1
N Right Whale,North Pacific,-1
Northern Fur Seal,Eastern N Pacific,1019192
Pac White-Sided Dol,North Pacific,931000
Ribbon Seal,Alaska,-1
Ringed Seal,Alaska,-1
Sperm Whale,Alaska,-1
Spotted Seal,Alaska,-1
Stejneger's Beaked  hale,Alaska,-1
Steller Sea Lion,Eastern,23900
Steller Sea Lion,Western U.S.,43200
