Species,Stock,N(estl,CV,C. F.,CV,c-cv,N(min>,0.5Rm,F(r),PBR,CF kill,Subsist,Status
Baird's Beaked Whale,Alaska,N/A,,,,,N/A,0.02,0.5,N/A,0,o.o,NS
Bearded Seal,Alaska,N/A,,,,,N/A,0.06,0.5,N/A,6.2,N/A,NS
Beluga l-lhale,Beaufort,41610,0.102,2,N/A,0.102,38194,0.02,1,764,0,160,NS
Beluga w'hate,Eastern Chukchi Sea,3710,N/A,3.09,N/A,N/A,3710,0.02,1,74,o.o,65,NS
Beluga w'hale,Norton Sound++,7367,N/A,3.52,N/A,N/A,N/A,0.02,N/A,N/A,0.0*,147,N/A
Beluga w'hale,Bristol Bay,1555,N/A,3.09,N/A,N/M,1526,0.02,1,31,0.3*,22,NS
Beluga Whale,Cook Inlet++,1251,0.14,2.9,N/A,0.14,N/A,0.02,N/A,N/A,0-0*,N/A,N/A
Bowhead Whale,lolestern Arctic,8000,0.073,,,0.073,7524,0.02,0.5,75,0,42 ·,s
Cuvier's Beaked Whale,Alaska,N/A,,,,,N/A,0.02,0.5,N/A,0,0,NS
Dall •s Porpoise,Alaska,83400,0.097,0.2,N/A,0.097,76874,0.02,1,1537,41,0,NS
Fin Whale,Alaska,N/A,,,,,N/A,0.02,0.1,N/A,0,0,s
Gray Whale,Eastern N Pacific,23109,0.074,,,0.074,21715,0.02,1,434,0.3,0,NS
Harbor Porpoise,Alaska,29744,N/A,,,N/A,24635,0.02,0.5,246,33,0,NS
Harbor Porpoise,Alaska-aerial,27714,0.129,3.1,0.171,0.215,23172,,,,,,
Harbor Porpoise,Alaska-vessel,2030,0.392,1.28,0.091,0.404,1463,,,,,,
Harbor Seal,Southeast Alaska,34652,0.026,1.61,0.062,0.0673,32745,0.06,1,1965,6.0*,"1,643",NS
Harbor Seal,Gulf of Alaska++,19694,0.03,1.61,0.062,0.0689,N/A,0.06,N/A,N/A,35,833,N/A
Harbor Seal,Bering Sea,18322,0.037,1.61,0.062,0.0722,17243,0.06,1,1035,12,322,NS
HUl¢ack Whale,Western N Pacific,N/A,,,,,N/A,0.02,0.1,N/A,0,o.o,s
HUl¢ack Whale,Central N Pacific,1407,0.107,,,,1407,0.02,0.1,2.8,0,0,s
Killer Whale,Resident,759,N/A,,,,759,0.02,0.5,7.6,0.8,0,NS
Killer Whale,Transient,245,N/A,,,,245,0.02,0.5,2.5,0.8,0,NS
Minke Whale,Alaska,N/A,,,,,N/A,0.02,o.so,N/A,0,0,NS
N Right Whale,North Pacific,N/A,,,,,N/A,0.02,0.1,0,0,0,s
Northern Fur Seal,Eastern N Pacific,1019192,0.059,,,0.0593,969595,0.043,0.5,20846,6.4,"1,m",s
Pac White-Sided Dol,North Pacific,931000,0.9,,,0.9,486719,0.02,0.5,4867,1.1,0,NS
Ribbon Seal,Alaska,N/A,,,,,N/A,0.06,0.5,N/A,0.4,N/A,NS
Ringed Seal,Alaska,N/A,,,,,N/A,0.06,0.5,N/A,0.8,N/A,NS
Sperm Whale,Alaska,N/A,,,,,N/A,0.02,0.1,N/A,0,0,s
Spotted Seal,Alaska,N/A,,,,,N/A,0.06,0.5,N/A,1.0*,N/A,NS
Stejneger's Beaked  hale,Alaska,N/A,,,,,N/A,0.02,0.5,N/A,0,0,NS
Steller Sea Lion,Eastern,23900,0.0184,1.33,N/A,0.0184,23533,I   0.06,0.75,1059,4,4,s
Ste·l ler Sea Lion,Western U.S.,43200,0.0184,1.33,N/A,0.0184,42536,0.06,0.3,766,41,514,s
