Species,Stock,N (est),CV,C.F.,N(rnin),Rmax,F(r),PBR,"Fishery
rnort.","Subsist
mort."
Baird's beaked whale,Alaska,n/a,,,n/a,0.02,0.5,n/a,0,see txt
Bearded seal,Alaska,n/a,,,n/a,0.06,0.5,n/a,2,n/a
Beluga whale,Beaufort Sea,"39,258",0.229,2,"32,453",0.02,1,649,0,160
Beluga whale,East. Chukchi Sea,"3,710",n/a,3.09,"3,710",0.02,1,74,0,54
Beluga whale.,East. Bering Sea,"7,986",0.26,3.09,"6,439",0.02,1,129,o•,127
Beluga whale,Bristol Bay,"1,555",n/a,3 09,"1,316",0.02,1,26,-  1•,19
Beluga whale,Cook Inlet,881,0.19,2.89,752,0.02,1,15,o•,40
Bowhead whale,Wes tern Arctic,"8,200",0.069,,"7,738",0.02,0.5,77,0,51
Cuvier ' s beaked whale,Alaska,n/a,,,n/a,0.02,0.5,n/a,0,0
Dall's porpoise,Alaska,"83,400",0.097,,"76,874",0.02,1,"1,537",42,0
Fin whale,Northeast Pacific,n/a,,,n/a,0.02,0.1,n/a,0,0
Gray whale,Eastern  No Pacific,"22,571",0.0524,,"21,597",0.02,1,432,4,43
Harbor porpoise,Southeast  Alaska,"10,301",see txt,see txt,"8,156",0.02,0.5,82,4*,0
Harbor porpoise,Gulf of Alaska,"8,497
-",0.134,3.1,"7,085",0.02,0.5,71,25,0
Harbor porpoise,Bering Sea,"10 ,946",0.243,3.1,"8,549",0.02,0.5,86,2,0
Harbor seal,Southeast Alas ka,"37,450",0.026,1.74,"35,226",0.06,1,"2,114",36*,"1,668"
Harbor seal,Gulf of Alaska,"23,504",0.028,I.SO,"22,427",0.06,0.5,673,36,850 1
Harbor seal,Bering Sea,"13,312",0.062,1.5,"12,648",0.06,0.5,379,31,178
Humpback whale,Western  No Pacific,n/a,,,n/a,0 .02,0.1,n/a,0,0
Humpback  whale,Central  No Pacific,"1,407",,,"1,407",0.02,0.1,2.8,0.8,0
Killer whale,Eastern No Pacific Northern resident,764     -  .,,,764,0.02,a.so,7.6,.     l.4,0
Killer whale,Eastern No Pacific Transient,314,,,314,0.02,0.5,3.1,1.4,0
Minke whale,Alaska,n/a,,,n/a,0.02,0.5,n/a,0,
Northern right whale,North Pacific,n/a,,,n/a,0.02,0.1,n/a,0,0
No1them fur seal,Eastern No Pacific,"1,019,192",,,"969,595",43,0.5,"20,846",18,1713
Pac while-sided dolphin,North Pacific,"931,000",,,"486,7 l 9",0.02,0 .50,"4,867",4,0
Ribbon seal,Alaska,n/a,,,n/a,0.06,0.5,n/a,I,n/a
Ringed seal,Alaska,n/a,,,n/a,0.06,0.5,n/a,I,n/a
Sperm whale,North Pacific,n/a,,,n/a,0.02,0.1,n/a,0,0
Spotted seal,Alaska,n/a,,,n/a,0.06,0.5,n/a,2*,see txt
Stejneger's beaked whale,Alaska,n/a,,,n/a,0.02,0.5,n/a,0,0
Steller sea lion,Eastern U. S .,"37,746",,,"37,166",0 .06,0.75,"l,672",IS,2
Steller sea lion,Western U. S.,"43,200",,,"42,536",0.06,0.15,383,35,412
