Species,Stock,N (est),CV,C.F.,CV C.F.,Comb. CV,N(min),"0.5
Rmax",F(r),PBR,Fishery mort.,Subsist mort.,Status,,,,,
Baird’s beaked whale,Alaska,n/a,,,,,n/a,0.02,0.50,n/a,0,see txt,NS,,,,,
Bearded seal,Alaska,n/a,,,,,n/a,0.06,0.50,n/a,2,n/a,NS,,,,,
Beluga whale,Beaufort Sea,"39,258",0.229,2.00,n/a,0.229,"32,453",0.02,1.00,649,0,184,NS,,,,,
Beluga whale,E. Chukchi Sea,"3,710",n/a,3.09,n/a,n/a,"3,710",0.02,1.00,74,0,68,NS,,,,,
Beluga whale,E. Bering Sea,"7,986",0.26,3.09,n/a,0.26,"6,439",0.02,1.00,129,1*,121,NS,,,,,
Beluga whale,Bristol Bay,"1,555",n/a,3.09,n/a,0.20,"1,316",0.02,1.00,26,1*,19,NS,,,,,
Beluga whale,Cook Inlet,347,0.29,,,0.29,273,0.02,0.50,2.7,0*,87,S,,,,,
Bowhead whale,Western Arctic,"8,200",0.069,,,0.069,"7,738",0.02,0.50,77,0,49,S,,,,,
Cuvier’s beaked whale,Alaska,n/a,,,,,n/a,0.02,0.50,n/a,0,0,NS,,,,,
Dall’s porpoise,Alaska,"83,400",0.097,,,0.097,"76,874",0.02,1.00,"1,537",42,0,NS,,,,,
Fin whale,Northeast Pacific,n/a,,,,,n/a,0.02,0.10,n/a,0,0,S,,,,,
Gray whale,Eastern No Pac.,"22,571",0.0524,,,0.0524,"21,597",0.02,1.00,432,4,43,NS,,,,,
Harbor porpoise,Southeast Alaska,"10,301",see txt,see txt,see txt,see txt,"8,156",0.02,0.50,82,4*,0,NS,,,,,
Harbor porpoise,Gulf of Alaska,"8,497",0.134,3.10,0.171,0.218,"7,085",0.02,0.50,71,25,0,NS,,,,,
Harbor porpoise,Bering Sea,"10,946",0.243,3.10,0.171,0.300,"8,549",0.02,0.50,86,2,0,NS,,,,,
Harbor seal,Southeast Alaska,"37,450",0.026,1.74,0.068,0.073,"35,226",0.06,1.00,"2,114",36,"1,749",NS,,,,,
Harbor seal,Gulf of Alaska,"29,175",0.023,1.50,0.047,0.052,"28,917",0.06,0.50,868,36,791,NS,,,,,
Harbor seal,Bering Sea,"13,312",0.062,1.50,0.047,see txt,"12,648",0.06,0.50,379,31,161,NS,,,,,
Humpback whale,Western No Pac.,394,0.084,,,0.084,367,0.02,0.10,0.7,0.2,0,S,,,,,
Humpback whale,Central No Pacific,"4,005",0.095,,,0.095,"3,698",0.02,0.10,7.4,1.0,0,S,,,,,
Killer whale,"E. N. Pacific
N. resident",717,n/a,,,see txt,717,0.02,0.50,7.2,0.8,0,NS,,,,,
Minke whale,Alaska,n/a,,,,,n/a,0.02,0.50,n/a,0,0,NS,,,,,
Northern right whale,North Pacific,n/a,,,,,n/a,0.02,0.10,n/a,0,0,S,,,,,
Northern fur seal,Eastern No Pacific,"1,002,516",0.065,4.475,n/a,0.2,"848,539",0.043,0.50,"18,244",17,"1,708",S,,,,,
Pac white- sided dolphin,Central No Pacific,"931,000",0.900,,,0.900,"486,719",0.02,0.50,"4,867",4,0,NS,,,,,
Ribbon seal,Alaska,n/a,,,,,n/a,0.06,0.50,n/a,1,n/a,NS,,,,,
Ringed seal,Alaska,n/a,,,,,n/a,0.06,0.50,n/a,1,n/a,NS,,,,,
Sperm whale,North Pacific,n/a,,,,,n/a,0.02,0.10,n/a,0,0,S,,,,,
Spotted seal,Alaska,n/a,,,,,n/a,0.06,0.50,n/a,2*,see txt,NS,,,,,
Stejneger’s beaked whale,Alaska,n/a,,,,,n/a,0.02,0.50,n/a,0,0,NS,,,,,
Steller sea lion,East. U. S.,"30,403",,,,,"30,403",0.06,0.75,"1,368",16,0,S,,,,,
Steller sea lion,West. U. S.,"39,031",,,,,"39,031",0.06,0.10,234,30,412,S,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
