,,,,,,,,,,,,,
Species,Stock,N (est),CV,C.F.,CV C.F.,Comb. CV,N(min),"0.5
Rmax",F(r),PBR,Fishery mort.,Subsist mort.,Status
Baird’s beaked whale,Alaska,n/a,,,,,n/a,0.02,0.50,n/a,0,see txt,NS
Bearded seal,Alaska,n/a,,,,,n/a,0.06,0.50,n/a,1,n/a,NS
Beluga whale,Beaufort Sea,"39,258",0.229,2.00,n/a,0.229,"32,453",0.02,1.00,649,0,184,NS
Beluga whale,"E.
Chukchi Sea","3,710",n/a,3.09,n/a,n/a,"3,710",0.02,1.00,74,0,68,NS
Beluga whale,"E.
Bering Sea","7,986",0.26,3.09,n/a,0.26,"6,439",0.02,1.00,129,1,121,NS
Beluga whale,Bristol Bay,"1,555",n/a,3.09,n/a,0.20,"1,316",0.02,1.00,26,1,19,NS
Beluga whale,Cook Inlet,435,0.23,,,0.23,360,0.02,0.30,2.2,0,0,S
Bowhead whale,"W.
Arctic","8,200",0.069,,,0.069,"7,738",0.02,0.50,77,0,54,S
Cuvier’s beaked whale,Alaska,n/a,,,,,n/a,0.02,0.50,n/a,0,0,NS
Dall’s porpoise,Alaska,"83,400",0.097,,,0.097,"76,874",0.02,1.00,"1,537",42,0,NS
Fin whale,"NE
Pacific",n/a,,,,,n/a,0.02,0.10,n/a,0,0,S
Gray whale,E. N. Pacific,"26,635",0.1006,,,0.1006,"24,477",0.0235,1.00,575,64,76,NS
Harbor porpoise,"SE
Alaska","10,508",0.207,2.96,0.180,0.274,"8,376",0.02,0.50,83,3*,0,NS
Harbor porpoise,Gulf of Alaska,"21,451",0.252,2.96,0.180,0.304,"16,630",0.02,0.50,166,25,0,NS
Harbor porpoise,Bering Sea,"10,946",0.243,3.10,0.171,0.300,"8,549",0.02,0.50,86,2,0,NS
Harbor seal,"SE
Alaska","37,450",0.026,1.74,0.068,0.073,"35,226",0.06,1.00,"2,114",36,"1,749",NS
Harbor seal,Gulf of Alaska,"29,175",0.023,1.50,0.047,0.052,"28,917",0.06,0.50,868,36,791,NS
Harbor seal,Bering Sea,"13,312",0.062,1.50,0.047,see txt,"12,648",0.06,0.50,379,31,161,NS
Humpback whale,W. N. Pacific,,394,0.084,,0.084,367,0.02,0.10,0.7,0.6,0,S
Humpback whale,Cent.N. Pacific,,"4,005",0.095,,0.095,"3,698",0.02,0.10,7.4,3.5,0,S
Killer whale,E. N. Pacific N. resident,,723,n/a,,see txt,723,0.02,0.50,7.2,1.4,0,NS
Minke whale,Alaska,,n/a,,,,n/a,0.02,0.50,n/a,0,0,NS
Northern right whale,"N.
Pacific",,n/a,,,,n/a,0.02,0.10,n/a,0,0,S
Northern fur seal,E. North Pacific,4.475,"983,91
8",,n/a,0.2,"832,79
8",0.043,0.50,"17,90
5",15,"1,495",S
Pacific white- sided dolphin,Cent.N. Pacific,,"26,880",,,,"26,880",0.02,0.50,269,4,0,NS
Ribbon seal,Alaska,,n/a,,,,n/a,0.06,0.50,n/a,1,n/a,NS
Ringed seal,Alaska,,n/a,,,,n/a,0.06,0.50,n/a,0,n/a,NS
Sperm whale,"N.
Pacific",,n/a,,,,n/a,0.02,0.10,n/a,0,0,S
Spotted seal,Alaska,,n/a,,,,n/a,0.06,0.50,n/a,3,see txt,NS
Stejneger’s beaked whale,Alaska,,n/a,,,,n/a,0.02,0.50,n/a,0,0,NS
Steller sea lion,E. U. S.,,"31,005",,,,"31,005",0.06,0.75,"1,395",2.7,0,S
Steller sea lion,W.U. S.,,"34,600",,,,"34,600",0.06,0.10,208,28.3,353,S
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
