Species,Stock,N (est),CV,N(min),Survey interval/ year of last survey,Rmax,F(r),PBR,Fishery mort.,Subsist. mort.,Total mort.,Status,
Baird’s beaked whale,Alaska,N/A,,N/A,,0.04,0.5,N/A,0,0,0,NS,
Bearded seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.68,"6,788","6,789",NS,
Beluga whale,Beaufort Sea,"39,258",0.23,"32,453",14/1992,0.04,0.5,UNDET,0,139,139,NS,
Beluga whale,E. Chukchi Sea,"3,710",N/A,"3,710",17/1991,0.04,1,UNDET,0,59,59,NS,
Beluga whale,E. Bering Sea,"18,142",0.24,"14,898",Aug-00,0.04,1,298,0,197,197,NS,
Beluga whale,Bristol Bay,"2,877",0.2,"2,467",Aug-05,0.04,1,49,0,17,17,NS,
Beluga whale,Cook Inlet,375,0.21,314,Jan-07,0.04,0.3,UNDET,0,0.4,0.4,S,
Bowhead whale,W. Arctic,"10,545",0.13,"9,472",Jul-01,0.04,0.5,95,0.2,42,43,S,
Cuvier’s beaked whale,Alaska,N/A,,N/A,,0.04,0.5,N/A,0,0,0,NS,
Dall’s porpoise,Alaska,"83,400",0.097,N/A,15/1993,0.04,1,UNDET,30,0,30,NS,
Fin whale,NE Pacific,"5,700",N/A,"5,700",May-03,0.04,0.1,11.4,0.23,0,0.23,S,
Gray whale,E. N. Pacific,"18,813",0.07,"17,752",Jun-02,0.047,1,417,6.7,122,130,NS,
Harbor porpoise,SE Alaska,"11,146",0.242,"9,116",Nov-97,0.04,0.5,UNDET,1,0,0,S,"180,017"
Harbor porpoise,Gulf of Alaska,"31,046",0.214,"25,987",Oct-98,0.04,0.5,UNDET,71,0,73,S,
Harbor porpoise,Bering Sea,"48,215",0.223,"40,039",Sep-99,0.04,0.5,UNDET,0,0,0,S,
Harbor seal,SE Alaska,"112,391",0.04,"108,670",10/1997-1998,0.12,0.5,"3,260",0,"1,092","1,094",NS,
Harbor seal,Gulf of Alaska,"45,975",0.04,"44,453",9/1996; 1999,0.12,0.5,"1,334",24,795,820,NS,
Harbor seal,Bering Sea,"21,651",0.1,"20,109",Aug-00,0.12,0.5,603,1.3,174,177,NS,
Humpback whale,W. N. Pacific,394,0.08,367,15+/1993,0.07,0.1,UNDET,0.2,0,0.2,S,
Humpback whale,CNP - entire stock,"4,005",0.095,"3,698",14/1993,0.07,0.1,UNDET,3.2,0,5,S,
,"CNP - SEAK
feeding area",961,0.12,868,,0.07,0.1,UNDET,1.4,0,2.8,N/A,
Killer whale,Alaska Resident,"11,233",N/A,"1,123",8+/2003,0.04,0.5,11.2,1.5,0,1.5,NS,
Killer whale,Northern Resident (British Columbia),2163,N/A,216,,0.04,0.5,2.16,0,0,0,NS,
Killer whale,AT1 transient,73,N/A,7,,0.04,0.1,0,0,0,0,S,
Killer whale,"GOA, AI, BS
Transient",3143,N/A,314,8+/2003,0.04,0.5,3.1,0.4,0,0.4,NS,
Killer whale,West Coast Transient,3143,N/A,314,,0.04,0.5,3.1,0,0,0,NS,
Minke whale,Alaska,N/A,,N/A,,0.04,0.5,N/A,0.32,0,0.32,NS,
Right whale,E. N. Pacific,N/A,N/A,N/A,N/A,0.04,0.1,0,0,0,0,S,
Northern fur seal,E. North Pacific,"665,550",N/A,"654,437",Feb-06,0.086,0.5,"14,070",1.9,667,669,S,
Pacific white-sided dolphin,Cent. N. Pacific,"26,880",N/A,N/A,12+/1990,0.04,0.5,UNDET,0,0,0,NS,
Ribbon seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.8,193,194,NS,
Ringed seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.71,"9,567","9,568",NS,
Sperm whale,N. Pacific,N/A,,N/A,,0.04,0.1,N/A,2,0,2,S,
Spotted seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.88,"5,265","5,266",NS,
Stejneger’s beaked whale,Alaska,N/A,,N/A,,0.04,0.5,N/A,0,0,0,NS,
Steller sea lion,E. U. S.,"45,095-
55,832",,"44,404",Mar-05,0.12,0.75,"1,998",1.4,12,16.7,S,
Steller sea lion,W. U. S.,"38,988",,"38,988",Mar-05,0.12,0.1,234,26.2,135,162,S,
