Species,Stock,N(est),CV,N(min),"Years since last
survey/year of last survey",Rmax,F(r),PBR,Fishery mort.,Subsist. mort.,Total mort.,Status
Steller sea lion,W. U.S.,"55,422",,"48,676",1/2013,0.12,0.10,292,31.5,199,238,S
Steller sea lion,E. U.S.,"60,131-
74,448",,"36,551",1/2013,0.12,0.75,"1,645",51.64,11.3,92.3,S
Northern fur seal,E. North Pacific,"648,534",N/A,"548,919",2/2012,0.086,0.50,"11,802",1.7,461,468,S
Harbor seal,Aleutian Islands,"3,579",,"3,313",7/2004,0.12,0.50,99,1.0,90,93.1,NS
Harbor seal,Pribilof Islands,232,,232,1/2010,0.12,0.50,7,1.0,0,3.1,NS
Harbor seal,Bristol Bay,"18,577",,"17,690",6/2005,0.12,1.0,"1,061",1.0,141,144.1,NS
Harbor seal,North Kodiak,"4,509",,"4,272",5/2006,0.12,1.0,256,1.0,131,134.1,NS
Harbor seal,South Kodiak,"11,117",,"10,645",5/2006,0.12,1.0,639,1.0,78,81.1,NS
Harbor seal,"Prince William
Sound","31,503",,"27,157",5/2006,0.12,0.5,815,25.0,439,466.1,NS
Harbor seal,Cook Inlet/Shelikof,"22,900",,"21,896",5/2006,0.12,1.0,"1,314",1.0,233,236.1,NS
Harbor seal,"Glacier Bay/Icy
Strait","5,042",,"4,735",4/2007,0.12,0.5,142,1.0,52,55.1,NS
Harbor seal,"Lynn Canal/
Stephens","8,870",,"8,481",4/2007,0.12,0.5,254,1.0,30,33.1,NS
Harbor seal,Sitka/Chatham,"8,586",,"8,222",4/2007,0.12,0.5,247,1.0,222,225.1,NS
Harbor seal,Dixon/Cape Decision,"14,388",,"13,682",5/2003,0.12,1.0,821,1.0,157,160.1,NS
Harbor seal,Clarence Strait,"23,289",,"22,471",5/2003,0.12,1.0,"1,348",1.0,164,167.1,NS
Species,Stock,N(est),CV,N(min),Years since last survey/year of last survey,Rmax,F(r),PBR,Fishery mort.,Subsist. mort.,Total mort.,Status
Spotted seal,Alaska,"460,268",,"391,000",2/2012,0.12,0.50,"11,730",1.5,"5,265","5,267",NS
Bearded seal,Alaska,N/A,,N/A,,0.12,0.50,N/A,1.8,"6,788","6,790",S
Ringed seal,Alaska,N/A,,N/A,,0.12,0.50,N/A,4.1,"9,567","9,571",S
Ribbon seal,Alaska,"61,100
(provisional)",,N/A,2/2012,0.12,0.50,N/A,1.02,193,194,NS
Beluga whale,Beaufort Sea,"39,258",0.23,"32,453",22/1992,0.04,1.00,649,0,166,166,NS
Beluga whale,E. Chukchi Sea,"3,710",N/A,UNK,23/1991,0.04,1.00,UNDET,0,57.4,57.4,NS
Beluga whale,E. Bering Sea,"19,186",0.32,UNK,14/2000,0.04,1.00,UNDET,0,181,181,NS
Beluga whale,Bristol Bay,"2,877",0.2,"2,467",9/2005,0.048,1.00,59,0.2,24,24.2,NS
Beluga whale,Cook Inlet,312,0.13,280,2/2012,0.04,0.1,UNDET,0,0,0,S
Narwhal,Unidentified stock,N/A,,N/A,,0.04,0.50,N/A,0,0,0,NS
Killer whale,Alaska Resident,"2,3473",N/A,"2,347",1/2012,0.04,0.50,23.4,0.9,0,0.9,NS
Killer whale,"Northern Resident
(British Columbia)",2613,N/A,261,2/2011,0.03,0.5,1.96,0,0,0,NS
Killer whale,"GOA, AI, BS
Transient",5873,N/A,587,1/2012,0.04,0.5,5.9,0.6,0,0.6,NS
Killer whale,AT1 transient,73,N/A,7,1/2013,0.04,0.10,0,0,0,0,S
Killer whale,West Coast Transient,2433,N/A,243,3/2009,0.04,0.5,2.4,0,0,0,NS
"Pacific white-sided
dolphin",Cent. N. Pacific,"26,880",N/A,N/A,12+/1990,0.04,0.50,UNDET,0,0,0,NS
Harbor porpoise,SE Alaska,"11,146",0.242,"9,116",17/1997,0.04,0.50,UNDET,22.61,0,22.61,S
Harbor porpoise,Gulf of Alaska,"31,046",0.214,"25,987",16/1998,0.04,0.50,UNDET,71.4,0,71.4,S
Species,Stock,N(est),CV,N(min),Years since last survey/year of last survey,Rmax,F(r),PBR,Fishery mort.,Subsist. mort.,Total mort.,Status
Harbor porpoise,Bering Sea,"48,215",0.223,"40,039",15/1999,0.04,0.50,UNDET,0.2,0,0.2,S
Dall’s porpoise,Alaska,"83,400",0.097,N/A,18/1993,0.04,1.00,UNDET,28.9,0,28.9,NS
Sperm whale,N. Pacific,N/A,,N/A,,0.04,0.10,N/A,0,0,0,S
"Baird’s beaked
whale",Alaska,N/A,,N/A,,0.04,0.50,N/A,0,0,0,NS
"Cuvier’s beaked
whale",Alaska,N/A,,N/A,,0.04,0.50,N/A,0,0,0,NS
"Stejneger’s beaked
whale",Alaska,N/A,,N/A,,0.04,0.50,N/A,0,0,0,NS
Humpback whale,W. N. Pacific,"1,107",0.30,865,8/2006,0.07,0.10,3.0,0.94,0,2.154,S
Humpback whale,CNP - entire stock,"10,103",0.30,"7,890",8/2006,0.07,0.3,82.8,8.44,0,15.894,S
Fin whale,NE Pacific,N/A,N/A,N/A,4/2010,0.04,0.10,UNDET,0.2,0,0.6,S
Minke whale,Alaska,N/A,,N/A,,0.04,0.50,N/A,0,0,0.2,NS
Right whale,E. N. Pacific,31,0.23,25.7,4/2010,0.04,0.10,0,0,0,0,S
Bowhead whale,W. Arctic,"16,892",0.24,"13,796",3/2011,0.04,0.50,138,0.4,42,42.4,S
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
